time,x,y,sol_id,my_eta,sol_eta_no_sb,diff,my_eta_cos,my_eta_att,my_eta_int,my_dist,sp_cosine,sp_intercept,sp_attenuation,sp_fixed_eta,diff_movil_vs_fijo,my_tilt_deg,my_n_az_deg
6.8667,-18.199930,0.050540,296.0,0.004594,0.135428,-0.130834,0.999844,0.991048,0.005137,18.446,0.999937,0.151386,0.991292,0.668907,-0.533479,79.6273,90.1591
6.8833,-18.199714,0.102023,296.0,0.018239,0.135426,-0.117187,0.999813,0.991048,0.020396,18.446,0.999916,0.151388,0.991292,0.669852,-0.534425,79.5320,90.3212
6.9167,-18.198844,0.205096,296.0,0.066739,0.135423,-0.068684,0.999743,0.991048,0.074636,18.446,0.999861,0.151392,0.991292,0.671782,-0.536359,79.3415,90.6457
6.9500,-18.197388,0.308316,296.0,0.130020,0.135418,-0.005398,0.999662,0.991048,0.145417,18.446,0.999786,0.151398,0.991292,0.673687,-0.538269,79.1510,90.9707
6.9833,-18.195343,0.411691,296.0,0.194414,0.135411,0.059003,0.999570,0.991048,0.217456,18.446,0.999694,0.151404,0.991292,0.675565,-0.540154,78.9605,91.2962
7.1250,-18.180004,0.852907,296.0,0.414037,0.135362,0.278675,0.999057,0.991048,0.463348,18.446,0.999087,0.151442,0.991292,0.683519,-0.548157,78.1512,92.6860
7.3750,-18.125945,1.640160,297.0,0.683003,0.722274,-0.039271,0.997667,0.991048,0.765412,18.446,0.998078,0.808888,0.991292,0.697071,0.025203,76.7256,95.1704
7.6250,-18.035579,2.440881,298.0,0.822055,0.879159,-0.057104,0.995669,0.991048,0.923090,18.446,0.996186,0.986457,0.991292,0.710018,0.169141,75.3056,97.7074
7.8750,-17.906017,3.257999,298.0,0.872043,0.877161,-0.005118,0.993077,0.991048,0.981778,18.446,0.993775,0.986602,0.991292,0.722341,0.154820,73.8942,100.3122
8.1250,-17.733451,4.094474,299.0,0.882737,0.886221,-0.003484,0.989912,0.991048,0.996995,18.446,0.990821,0.999765,0.991292,0.734018,0.152203,72.4946,103.0012
8.3750,-17.513009,4.953232,299.0,0.881786,0.882916,-0.001130,0.986201,0.991048,0.999669,18.446,0.987120,0.999771,0.991292,0.745032,0.137884,71.1104,105.7926
8.6250,-17.238586,5.837049,300.0,0.878280,0.879625,-0.001345,0.981978,0.991048,0.999977,18.446,0.983226,0.999989,0.991292,0.755364,0.124261,69.7456,108.7063
8.8750,-16.902646,6.748374,301.0,0.874103,0.875588,-0.001485,0.977286,0.991048,0.999999,18.446,0.978713,0.999989,0.991292,0.765001,0.110587,68.4045,111.7643
9.1250,-16.496008,7.689064,301.0,0.869535,0.871014,-0.001479,0.972177,0.991048,1.000000,18.446,0.973601,0.999989,0.991292,0.773926,0.097088,67.0926,114.9910
9.3750,-16.007643,8.659987,302.0,0.864650,0.866412,-0.001762,0.966715,0.991048,1.000000,18.446,0.968459,0.999987,0.991292,0.782127,0.084285,65.8156,118.4130
9.6250,-15.424504,9.660470,303.0,0.859516,0.861494,-0.001977,0.960976,0.991048,1.000000,18.446,0.962962,0.999986,0.991292,0.789591,0.071902,64.5805,122.0592
9.8750,-14.731492,10.687523,304.0,0.854215,0.856371,-0.002157,0.955048,0.991048,1.000000,18.446,0.957238,0.999985,0.991292,0.796308,0.060063,63.3953,125.9604
10.1250,-13.911645,11.734825,305.0,0.848839,0.851163,-0.002324,0.949038,0.991048,1.000000,18.446,0.951417,0.999984,0.991292,0.802268,0.048895,62.2693,130.1485
10.3750,-12.946745,12.791473,306.0,0.843499,0.845989,-0.002490,0.943068,0.991048,1.000000,18.446,0.945634,0.999983,0.991292,0.807463,0.038526,61.2131,134.6544
10.6250,-11.818568,13.840573,307.0,0.838319,0.840970,-0.002651,0.937276,0.991048,1.000000,18.446,0.940025,0.999982,0.991292,0.811884,0.029086,60.2389,139.5057
10.8750,-10.511021,14.857942,308.0,0.833438,0.836224,-0.002786,0.931819,0.991048,1.000000,18.446,0.934721,0.999981,0.991292,0.815527,0.020698,59.3600,144.7231
11.1250,-9.013341,15.811378,309.0,0.829007,0.831866,-0.002859,0.926865,0.991048,1.000000,18.446,0.929851,0.999981,0.991292,0.818385,0.013482,58.5911,150.3145
11.3750,-7.324211,16.661210,311.0,0.825181,0.828192,-0.003010,0.922588,0.991048,1.000000,18.446,0.925744,0.999980,0.991292,0.820455,0.007737,57.9472,156.2699
11.6250,-5.456141,17.362907,312.0,0.822112,0.825229,-0.003117,0.919157,0.991048,1.000000,18.446,0.922433,0.999980,0.991292,0.821733,0.003496,57.4429,162.5551
11.8750,-3.438753,17.872185,314.0,0.819934,0.823009,-0.003075,0.916722,0.991048,1.000000,18.446,0.919952,0.999979,0.991292,0.822219,0.000790,57.0912,169.1089
12.1250,-1.319215,18.152126,315.0,0.818751,0.821911,-0.003160,0.915398,0.991048,1.000000,18.446,0.918724,0.999979,0.991292,0.821911,0.000000,56.9022,175.8433
12.3750,0.841520,18.180535,317.0,0.818621,0.821636,-0.003015,0.915253,0.991048,1.000000,18.446,0.918417,0.999979,0.991292,0.820810,0.000826,56.8814,182.6502
12.6250,2.976513,17.954954,318.0,0.819550,0.822577,-0.003027,0.916292,0.991048,1.000000,18.446,0.919468,0.999979,0.991292,0.818917,0.003659,57.0296,189.4127
12.8750,5.022563,17.493252,320.0,0.821492,0.824266,-0.002773,0.918463,0.991048,1.000000,18.446,0.921356,0.999979,0.991292,0.816235,0.008030,57.3423,196.0195
13.1250,6.928724,16.829521,321.0,0.824354,0.827093,-0.002739,0.921663,0.991048,1.000000,18.446,0.924516,0.999980,0.991292,0.812768,0.014325,57.8103,202.3770
13.3750,8.661114,16.007033,322.0,0.828007,0.830570,-0.002563,0.925748,0.991048,1.000000,18.446,0.928402,0.999980,0.991292,0.808520,0.022050,58.4212,208.4170
13.6250,10.203403,15.070852,324.0,0.832304,0.834558,-0.002254,0.930551,0.991048,1.000000,18.446,0.932858,0.999981,0.991292,0.803497,0.031060,59.1606,214.0991
13.8750,11.554036,14.062157,325.0,0.837087,0.839228,-0.002141,0.935899,0.991048,1.000000,18.446,0.938078,0.999982,0.991292,0.797707,0.041521,60.0136,219.4079
14.1250,12.721967,13.015051,326.0,0.842205,0.844192,-0.001987,0.941621,0.991048,1.000000,18.446,0.943626,0.999983,0.991292,0.791157,0.053035,60.9654,224.3476
14.3750,13.722386,11.955589,327.0,0.847515,0.849331,-0.001815,0.947558,0.991048,1.000000,18.446,0.949369,0.999984,0.991292,0.783857,0.065474,62.0021,228.9361
14.6250,14.573275,10.902278,328.0,0.852890,0.854523,-0.001633,0.953568,0.991048,1.000000,18.446,0.955172,0.999985,0.991292,0.775817,0.078707,63.1114,233.1998
14.8750,15.293020,9.867296,329.0,0.858217,0.859650,-0.001433,0.959523,0.991048,1.000000,18.446,0.960901,0.999986,0.991292,0.767049,0.092601,64.2822,237.1693
15.1250,15.898976,8.857909,330.0,0.863397,0.864592,-0.001195,0.965314,0.991048,1.000000,18.446,0.966424,0.999987,0.991292,0.757565,0.107026,65.5050,240.8762
15.3750,16.406728,7.877771,330.0,0.868347,0.869554,-0.001207,0.970849,0.991048,1.000000,18.446,0.971971,0.999988,0.991292,0.747381,0.122173,66.7714,244.3518
15.6250,16.829817,6.928006,331.0,0.872997,0.874099,-0.001102,0.976048,0.991048,0.999999,18.446,0.977049,0.999989,0.991292,0.736512,0.137587,68.0743,247.6254
15.8750,17.179743,6.008031,332.0,0.877276,0.878197,-0.000921,0.980845,0.991048,0.999987,18.446,0.981630,0.999989,0.991292,0.724974,0.153224,69.4075,250.7245
16.1250,17.466106,5.116163,333.0,0.880986,0.881566,-0.000580,0.985186,0.991048,0.999791,18.446,0.985608,0.999773,0.991292,0.712785,0.168781,70.7655,253.6737
16.3750,17.696810,4.250050,333.0,0.882774,0.885169,-0.002395,0.989026,0.991048,0.997930,18.446,0.989642,0.999767,0.991292,0.699965,0.185204,72.1439,256.4956
16.6250,17.878272,3.406961,334.0,0.875534,0.876259,-0.000725,0.992329,0.991048,0.986452,18.446,0.992698,0.986657,0.991292,0.686534,0.189724,73.5384,259.2108
16.8750,18.015633,2.583981,334.0,0.835607,0.878548,-0.042941,0.995065,0.991048,0.938878,18.446,0.995445,0.986506,0.991292,0.672516,0.206032,74.9453,261.8377
17.0854,18.100104,1.904267,335.0,0.742234,0.721794,0.020440,0.996912,0.991048,0.832420,18.446,0.997125,0.809124,0.991292,0.660288,0.061506,76.1360,263.9928
17.2563,18.149078,1.360503,335.0,0.603341,0.722399,-0.119058,0.998100,0.991048,0.675845,18.446,0.998337,0.808819,0.991292,0.650071,0.072328,77.1069,265.7116
17.4271,18.181359,0.823525,336.0,0.401327,0.135350,0.265977,0.999002,0.991048,0.449149,18.446,0.998914,0.151455,0.991292,0.639611,-0.504260,78.0799,267.4066
17.5979,18.197692,0.289819,336.0,0.118290,0.135411,-0.017121,0.999617,0.991048,0.132304,18.446,0.999684,0.151406,0.991292,0.628915,-0.493504,79.0542,269.0862
17.6833,18.199982,0.025433,336.0,0.001171,0.135425,-0.134254,0.999817,0.991048,0.001309,18.446,0.999883,0.151391,0.991292,0.623492,-0.488067,79.5424,269.9199
